,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,Name,Team,Yr,Pos,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
1,1.0,Luke Falk,Wash St,SO,QB,11,591,418,70.7,4266,7.2,36,8,148.75,53.7,387.8
2,2.0,Matt Johnson,BGSU,SR,QB,13,535,368,68.8,4700,8.8,43,8,166.11,41.2,361.5
3,3.0,Patrick Mahomes II,Texas Tech,SO,QB,12,517,336,65.0,4283,8.3,32,14,149.59,43.1,356.9
4,4.0,Jared Goff,California,JR,QB,12,492,316,64.2,4252,8.6,37,13,156.36,41.0,354.3
5,5.0,Brandon Doughty,Western Ky,SR,QB,13,496,356,71.8,4594,9.3,45,7,176.69,38.2,353.4
6,6.0,Nick Arbuckle,Georgia St,SR,QB,12,457,293,64.1,4160,9.1,26,11,154.54,38.1,346.7
7,7.0,Dane Evans,Tulsa,JR,QB,12,441,278,63.0,3958,9.0,22,8,151.26,36.8,329.8
8,8.0,Trevone Boykin,TCU,SR,QB,11,396,257,64.9,3575,9.0,31,10,161.52,36.0,325.0
9,9.0,Nick Mullens,USM,JR,QB,13,483,306,63.4,4145,8.6,36,12,155.06,37.2,318.8
10,10.0,Chad Kelly,Miss,JR,QB,12,425,277,65.2,3740,8.8,27,12,154.41,35.4,311.7
11,11.0,Cooper Rush,C Mich,JR,QB,12,460,309,67.2,3703,8.1,25,10,148.38,38.3,308.6
12,12.0,Brent Stockstill,MTSU,FR,QB,12,451,301,66.7,3678,8.2,27,8,151.45,37.6,306.5
13,13.0,Paxton Lynch,Memphis,JR,QB,12,407,280,68.8,3670,9.0,28,3,165.77,33.9,305.8
14,14.0,Mason Rudolph,Okla St,SO,QB,12,393,246,62.6,3591,9.1,21,9,152.41,32.8,299.3
15,15.0,Jeff Driskel,La Tech,SR,QB,12,412,255,61.9,3575,8.7,24,8,150.12,34.3,297.9
16,16.0,Brett Rypien,Boise St,FR,QB,10,389,243,62.5,2973,7.6,17,7,137.49,38.9,297.3
17,17.0,Nate Sudfeld,Indiana,SR,QB,11,361,219,60.7,3184,8.8,24,5,153.93,32.8,289.5
18,18.0,Mike Bercovici,Ariz St,SR,QB,12,479,289,60.3,3436,7.2,26,9,134.73,39.9,286.3
19,19.0,Dak Prescott,Miss St,SR,QB,12,435,291,66.9,3413,7.8,25,4,149.94,36.3,284.4
20,20.0,Baker Mayfield,Oklahoma,JR,QB,12,354,243,68.6,3389,9.6,35,5,178.86,29.5,282.4
21,21.0,Josh Rosen,UCLA,FR,QB,12,447,266,59.5,3350,7.5,20,9,133.19,37.3,279.2
22,22.0,Gunner Kiel,Cincinnati,JR,QB,10,316,206,65.2,2777,8.8,19,11,151.89,31.6,277.7
23,23.0,Brad Kaaya,Miami (Fl),SO,QB,11,358,221,61.7,3019,8.4,15,4,144.17,32.5,274.5
24,24.0,Matt Linehan,Idaho,SO,QB,11,391,248,63.4,2992,7.7,16,11,135.58,35.5,272.0
25,25.0,Vernon Adams Jr.,Oregon,SR,QB,9,240,155,64.6,2446,10.2,25,6,179.57,26.7,271.8
26,26.0,Deshaun Watson,Clemson,SO,QB,13,413,287,69.5,3512,8.5,30,11,159.56,31.8,270.2
27,27.0,Zach Terrell,W Mich,JR,QB,12,365,244,66.8,3229,8.8,27,8,161.19,30.4,269.1
28,28.0,Brandon Allen,Arkansas,SR,QB,12,344,224,65.1,3125,9.1,29,7,165.18,28.7,260.4
29,29.0,Tommy Armstrong Jr.,Nebraska,JR,QB,11,383,210,54.8,2856,7.5,21,16,127.20,34.8,259.6
30,30.0,Tanner Mangum,BYU,FR,QB,12,390,242,62.1,3062,7.9,21,7,142.18,32.5,255.2
31,31.0,Cody Kessler,USC,SR,QB,13,414,280,67.6,3315,8.0,28,6,154.31,31.8,255.0
32,32.0,Joe Licata,Buffalo,SR,QB,12,449,280,62.4,2969,6.6,16,15,122.98,37.4,247.4
