,0,1,2,3,4,5,6,7,8,9,10,11,12
0,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
1,1,"Matt Johnson, QB",BGSU,368,535,68.8,4700,8.8,94,43,8,35,166.1
2,2,"Brandon Doughty, QB",WKU,356,496,71.8,4594,9.3,78,45,7,13,176.7
3,3,"Patrick Mahomes, QB",TTU,336,517,65.0,4283,8.3,90,32,14,21,149.6
4,4,"Luke Falk, QB",WSU,418,591,70.7,4266,7.2,75,36,8,35,148.8
5,5,"Jared Goff, QB",CAL,316,492,64.2,4252,8.6,80,37,13,25,156.4
6,6,"Nick Arbuckle, QB",GAST,293,457,64.1,4160,9.1,76,26,11,28,154.5
7,7,"Nick Mullens, QB",USM,306,483,63.4,4145,8.6,69,36,12,20,155.1
8,8,"Dane Evans, QB",TLSA,278,441,63.0,3958,9.0,80,22,8,35,151.3
9,9,"Chad Kelly, QB",MISS,277,425,65.2,3740,8.8,73,27,12,16,154.4
10,10,"Cooper Rush, QB",CMU,309,460,67.2,3703,8.1,83,25,10,25,148.4
11,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
12,11,"Brent Stockstill, QB",MTSU,301,451,66.7,3678,8.2,76,27,8,14,151.5
13,12,"Paxton Lynch, QB",MEM,280,406,69.0,3670,9.0,82,28,3,15,166.2
14,13,"Mason Rudolph, QB",OKST,246,393,62.6,3591,9.1,82,21,9,27,152.4
15,14,"Jeff Driskel, QB",LT,255,412,61.9,3575,8.7,72,24,8,18,150.1
16,,"Trevone Boykin, QB",TCU,257,396,64.9,3575,9.0,70,31,10,12,161.5
17,16,"Deshaun Watson, QB",CLEM,287,413,69.5,3512,8.5,67,30,11,12,159.6
18,17,"Mike Bercovici, QB",ASU,290,480,60.4,3442,7.2,93,26,9,37,134.8
19,18,"Dak Prescott, QB",MSST,291,435,66.9,3413,7.8,63,25,4,31,149.9
20,19,"Baker Mayfield, QB",OKLA,243,354,68.6,3389,9.6,76,35,5,34,178.9
21,20,"Josh Rosen, QB",UCLA,266,447,59.5,3351,7.5,70,20,9,15,133.2
22,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
23,21,"Cody Kessler, QB",USC,280,414,67.6,3315,8.0,83,28,6,35,154.3
24,22,"Zach Terrell, QB",WMU,244,365,66.8,3225,8.8,76,27,8,29,161.1
25,23,"Nate Sudfeld, QB",IND,219,361,60.7,3184,8.8,72,24,5,9,153.9
26,24,"Brandon Allen, QB",ARK,224,344,65.1,3125,9.1,71,29,7,12,165.2
27,25,"Tanner Mangum, QB",BYU,242,390,62.1,3062,7.9,84,21,7,26,142.2
28,26,"Brad Kaaya, QB",MIA,221,358,61.7,3019,8.4,67,15,4,12,144.2
29,27,"Matt Linehan, QB",IDHO,248,391,63.4,2989,7.6,71,16,11,24,135.5
30,28,"Brett Rypien, QB",BSU,244,390,62.6,2976,7.6,85,17,7,18,137.5
31,29,"Joe Licata, QB",BUFF,280,449,62.4,2969,6.6,78,16,15,16,123.0
32,30,"Connor Cook, QB",MSU,210,369,56.9,2921,7.9,74,24,5,14,142.2
33,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
34,31,"Blake Frohnapfel, QB",UMASS,266,472,56.4,2919,6.2,62,16,13,26,114.0
35,32,"Tommy Armstrong Jr., QB",NEB,210,383,54.8,2856,7.5,55,21,16,11,127.2
36,33,"Marquise Williams, QB",UNC,197,321,61.4,2829,8.8,89,21,9,13,151.4
37,34,"Matt Johns, QB",UVA,247,403,61.3,2810,7.0,80,20,17,20,127.8
38,35,"Gunner Kiel, QB",CIN,206,316,65.2,2777,8.8,88,19,11,8,151.9
39,36,"Wes Lunt, QB",ILL,270,481,56.1,2761,5.7,53,14,6,18,111.5
40,37,"Jake Rudock, QB",MICH,229,358,64.0,2739,7.7,64,17,9,17,138.9
41,38,"P.J. Walker, QB",TEM,223,391,57.0,2737,7.0,75,19,7,17,128.3
42,39,"Alex McGough, QB",FIU,269,420,64.0,2722,6.5,75,21,8,27,131.2
43,40,"Phillip Ely, QB",TOL,206,375,54.9,2680,7.1,88,21,10,4,128.1
44,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
45,41,"Jake Browning, QB",WASH,210,334,62.9,2671,8.0,81,16,10,29,139.9
46,42,"Blake Kemp, QB",ECU,260,375,69.3,2658,7.1,69,16,10,13,137.6
47,43,"Kevin Hogan, QB",STAN,194,283,68.6,2644,9.3,93,24,7,18,170.1
48,44,"Skyler Howard, QB",WVU,193,352,54.8,2613,7.4,70,21,12,29,130.1
49,45,"DeShone Kizer, QB",ND,189,298,63.4,2600,8.7,75,19,9,19,151.7
50,46,"Greg Ward Jr., QB",HOU,207,304,68.1,2590,8.5,67,16,5,23,153.7
51,47,"C.J. Beathard, QB",IOWA,202,329,61.4,2570,7.8,85,15,4,22,139.6
52,48,"Tyler Jones, QB",TXST,223,382,58.4,2494,6.5,65,14,10,18,120.1
53,49,"Jake Coker, QB",ALA,222,338,65.7,2489,7.4,81,17,8,18,139.4
54,50,"Mitch Leidner, QB",MINN,218,377,57.8,2478,6.6,57,13,10,14,119.1
55,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
56,51,"Joel Stave, QB",WIS,207,343,60.4,2470,7.2,45,10,11,21,124.0
57,52,"Thomas Sirk, QB",DUKE,234,390,60.0,2462,6.3,89,15,6,11,122.6
58,53,"Jacoby Brissett, QB",NCST,225,367,61.3,2448,6.7,83,19,4,32,132.2
59,54,"Vernon Adams Jr., QB",ORE,155,240,64.6,2446,10.2,52,25,6,24,179.6
60,55,"Sefo Liufau, QB",COLO,214,344,62.2,2418,7.0,72,9,6,23,126.4
61,56,"Chase Litton, QB",MRSH,207,349,59.3,2387,6.8,66,22,7,15,133.6
62,57,"Christian Hackenberg, QB",PSU,184,345,53.3,2386,6.9,77,16,5,38,123.8
63,58,"Brandon Silvers, QB",TROY,202,330,61.2,2378,7.2,75,20,7,11,137.5
