,RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,TD
1,1,"Derrick Henry, RB",ALA,339,1986,5.9,74,23
2,2,"Christian McCaffrey, RB",STAN,319,1847,5.8,70,8
3,3,"Leonard Fournette, RB",LSU,271,1741,6.4,87,18
4,4,"Royce Freeman, RB",ORE,257,1706,6.6,64,14
5,5,"Ezekiel Elliott, RB",OSU,262,1672,6.4,80,19
6,6,"Dalvin Cook, RB",FSU,211,1658,7.9,94,18
7,7,"Larry Rose III, RB",NMSU,240,1651,6.9,82,14
8,8,"Brian Hill, RB",WYO,281,1631,5.8,72,6
9,9,"Donnel Pumphrey, RB",SDSU,284,1554,5.5,72,16
10,10,"Matt Breida, RB",GASO,188,1540,8.2,87,16
12,11,"Tyler Ervin, RB",SJSU,264,1469,5.6,71,13
13,12,"DeAndre Washington, RB",TTU,223,1455,6.5,80,14
14,13,"Wendell Smallwood, RB",WVU,225,1447,6.4,52,9
15,14,"Alex Collins, RB",ARK,248,1392,5.6,80,17
16,15,"Elijah Hood, RB",UNC,206,1345,6.5,44,17
17,16,"Justin Jackson, RB",NW,298,1344,4.5,62,4
18,17,"Mike Warren, RB",ISU,227,1339,5.9,76,5
19,18,"Wayne Gallman, RB",CLEM,243,1332,5.5,66,10
20,19,"Shock Linwood, RB",BAY,196,1329,6.8,79,10
21,20,"Samaje Perine, RB",OKLA,211,1291,6.1,72,15
23,21,"Paul Perkins, RB",UCLA,225,1275,5.7,82,13
24,22,"Marlon Mack, RB",USF,193,1273,6.6,59,8
25,23,"Joel Bouagnon, RB",NIU,275,1269,4.6,58,18
26,24,"Marcus Cox, RB",APP,219,1261,5.8,74,8
27,24,"Devontae Booker, RB",UTAH,268,1261,4.7,62,11
28,26,"Jahad Thomas, RB",TEM,268,1257,4.7,60,17
29,27,"Jeremy McNichols, RB",BSU,221,1244,5.6,88,18
30,28,"Travis Greene, RB",BGSU,212,1219,5.8,43,14
31,29,"Jordan Howard, RB",IND,196,1213,6.2,37,9
32,30,"Elijhaa Penny, RB",IDHO,247,1174,4.8,68,10
34,31,"Aaron Green, RB",TCU,219,1171,5.3,86,10
35,32,"Jalen Hurd, RB",TENN,253,1158,4.6,48,11
36,33,"James Butler, RB",NEV,184,1156,6.3,91,8
37,34,"Ralph Webb, RB",VAN,277,1152,4.2,74,5
38,35,"Ray Lawry, RB",ODU,194,1136,5.9,57,11
39,36,"Paul Harris, RB",HAW,197,1132,5.7,95,6
40,37,"Myles Gaskin, RB",WASH,201,1121,5.6,78,10
41,38,"Jalen Richard, RB",USM,185,1098,5.9,64,14
42,39,"Keenan Reynolds, QB",NAVY,220,1093,5.0,67,19
43,40,"Darius Jackson, RB",EMU,208,1088,5.2,63,14
45,41,"Ito Smith, RB",USM,155,1088,7.0,75,8
46,42,"Sony Michel, RB",UGA,199,1076,5.4,66,7
47,43,"Tra Carson, RB",TA&M,222,1059,4.8,30,6
48,44,"Michael Gordon, RB",ARST,164,1055,6.4,73,9
49,45,"Demario Richard, RB",ASU,198,1050,5.3,61,7
50,46,"Qadree Ollison, RB",PITT,204,1048,5.1,71,10
51,47,"Elijah McGuire, RB",ULL,209,1047,5.0,88,13
52,48,"Jarveon Williams, RB",UTSA,173,1042,6.0,85,8
53,49,"Greg Ward Jr., QB",HOU,178,1041,5.8,47,19
54,50,"C.J. Prosise, RB",ND,156,1032,6.6,91,11
56,51,"Don Jackson, RB",NEV,221,1025,4.6,62,8
57,52,"Jacobi Owens, RB",AFA,186,1009,5.4,65,6
58,53,"Saquon Barkley, RB",PSU,165,1007,6.1,56,7
59,54,"Brandon Burks, RB",TROY,201,1005,5.0,92,7
60,55,"Anthony Wales, RB",WKU,141,986,7.0,47,7
61,56,"Kelvin Taylor, RB",FLA,248,985,4.0,53,13
62,57,"Jordan Canzeri, RB",IOWA,178,976,5.5,75,12
63,57,"Peyton Barber, RB",AUB,226,976,4.3,36,13
64,59,"Kenneth Dixon, RB",LT,176,968,5.5,65,17
65,60,"Kalif Phillips, RB",CHAR,190,961,5.1,39,5
67,RK,"Travon McMillian, RB",VT,184,961,5.2,63,5
68,62,"Marquis Young, RB",UMASS,152,960,6.3,83,7
69,63,"Brandon Ross, RB",MD,150,958,6.4,80,10
70,64,"Xavier Johnson, RB",USA,145,956,6.6,92,7
71,65,"Kenneth Farrow, RB",HOU,182,949,5.2,44,12
72,66,"Chase Price, RB",SDSU,177,940,5.3,56,6
73,66,"Ronald Jones II, RB",USC,145,940,6.5,74,8
74,68,"Joseph Yearby, RB",MIA,191,939,4.9,41,6
75,69,"Marteze Waller, RB",FRES,228,920,4.0,64,5
76,70,"Robert Lowe, RB",TXST,175,915,5.2,59,7
78,71,"Kareem Hunt, RB",TOL,163,894,5.5,41,10
79,72,"Deshaun Watson, QB",CLEM,163,887,5.4,63,11
80,73,"Conor Hundley, RB",AKR,188,883,4.7,32,10
81,73,"Quinton Flowers, QB",USF,175,883,5.0,71,10
82,75,"Justin Davis, RB",USC,157,875,5.6,43,5
83,75,"Markell Jones, RB",PUR,168,875,5.2,68,10
84,77,"Terry Swanson, RB",TOL,132,870,6.6,90,7
85,78,"Marquise Williams, QB",UNC,141,867,6.1,46,11
86,79,"Matthew Dayes, RB",NCST,134,865,6.5,85,12
87,80,"Stanley Williams, RB",UK,121,855,7.1,75,6
89,81,"Chris Swain, FB",NAVY,169,847,5.0,52,10
90,82,"Jhurell Pressley, RB",UNM,135,846,6.3,75,11
91,83,"Devante Mays, RB",USU,153,842,5.5,48,9
92,84,"Jamauri Bogan, RB",WMU,143,836,5.8,76,12
93,85,"Jeffrey Wilson, RB",UNT,155,830,5.4,38,1
94,86,"Anthone Taylor, RB",BUFF,186,829,4.5,29,3
95,87,"Jordan Johnson, RB",BUFF,172,811,4.7,48,12
96,88,"Dalyn Dawkins, RB",CSU,156,805,5.2,42,2
97,89,"Fred Coppet, RB",BGSU,136,797,5.9,62,5
98,90,"Devine Redding, RB",IND,191,785,4.1,66,8
100,91,"LA Ramsby, RB",GASO,153,772,5.0,46,12
101,92,"Dare Ogunbowale, RB",WIS,181,769,4.2,35,7
102,93,"Teriyon Gipson, RB",UNM,132,766,5.8,79,6
103,94,"Robert Martin, RB",RUTG,141,763,5.4,54,6
104,95,"Matt Davis, QB",SMU,187,761,4.1,65,10
105,96,"Arkeel Newsome, RB",CONN,174,760,4.4,90,6
106,96,"Alex Gardner, RB",FIU,186,760,4.1,36,9
107,98,"Josh Adams, RB",ND,103,757,7.4,98,5
108,99,"Chris Hairston, RB",ECU,165,754,4.6,45,8
109,100,"Joe Mixon, RB",OKLA,110,749,6.8,66,7
111,101,"Nick Chubb, RB",UGA,92,747,8.1,83,7
112,102,"Terrell Newby, RB",NEB,143,743,5.2,69,5
113,103,"Lamar Jackson, QB",LOU,141,734,5.2,73,9
114,104,"D'Angelo Brewer, RB",TLSA,148,732,4.9,23,4
115,105,"Darian Green, RB",BALL,145,730,5.0,47,5
116,106,"Hosey Williams, RB",CIN,129,727,5.6,84,4
117,107,"Nick Wilson, RB",ARIZ,133,725,5.5,43,8
118,108,"Ke'Shawn Vaughn, RB",ILL,157,723,4.6,78,6
119,109,"Mike Boone, RB",CIN,96,717,7.5,74,8
120,110,"Zack Langer, RB",TLSA,193,714,3.7,46,17
122,111,"Keith Whitely, RB",UNLV,152,711,4.7,57,3
123,112,"Josh Ferguson, RB",ILL,129,708,5.5,52,3
124,113,"Jerrard Randall, QB",ARIZ,78,702,9.0,73,5
125,114,"Johnny Jefferson, RB",BAY,113,701,6.2,46,5
126,115,"Jarvion Franklin, RB",WMU,146,699,4.8,54,5
